Masked Gen ID,Min Run Time,Min Down Time,Max Stops per Day,Start Up Notification,Start Up bid Time 1,Start Up bid Time 2,Start Up bid Time 3,Start Up bid Time 4,Start Up bid Time 5,Start Up bid Time 6,Start Up bid Cost 1,Start Up bid Cost 2,Start Up bid Cost 3,Start Up bid Cost 4,Start Up bid Cost 5,Start Up bid Cost 6,Notification Hours To Start 1,Notification Hours To Start 2,Notification Hours To Start 3,Notification Hours To Start 4,Notification Hours To Start 5,Notification Hours To Start 6,Notification Hours Off line 1,Notification Hours Off line 2,Notification Hours Off line 3,Notification Hours Off line 4,Notification Hours Off line 5,Notification Hours Off line 6,Masked Bidder ID
37636180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
48036180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
20036180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
31636180,   12.00,    2.00,    9,     .00,   12.00,   24.00,   48.00, , , ,     295.00,     495.00,     695.00, , , ,     .00, , , , , ,     .00, , , , , , 
57636180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
81036180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
68036180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
16036180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
23636180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
29636180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
59636180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
41636180,     .00,    1.00,    1,    1.00,     .00, , , , , ,        .00, , , , , ,    1.00, , , , , ,   24.00, , , , , , 
98636180,     .00,    1.00,    1,    1.00,     .00, , , , , ,        .00, , , , , ,    1.00, , , , , ,   24.00, , , , , , 
79636180,     .00,    1.00,    1,    1.00,     .00, , , , , ,        .00, , , , , ,    1.00, , , , , ,   24.00, , , , , , 
73826180,    1.00,    1.00,    2,     .00,    1.00, , , , , ,     120.00, , , , , , , , , , , , , , , , , , 
65826180,    1.00,    1.00,    2,     .00,    1.00, , , , , ,     120.00, , , , , , , , , , , , , , , , , , 
3636180,   12.00,    1.00,    9,     .00,   12.00,   24.00,   48.00, , , ,     893.00,    1295.00,    2465.00, , , ,     .00, , , , , ,     .00, , , , , , 
80036180,   12.00,    1.00,    9,     .00,   12.00,   24.00,   48.00, , , ,     289.00,     489.00,     689.00, , , , , , , , , , , , , , , , 
24757750,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
62357750,     .00,     .00,    9,     .00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
23157750,    1.00,    1.00,    1,     .25,   24.00,   48.00,   72.00,   96.00,  120.00,  144.00,        .00,        .01,        .02,        .03,        .04,        .05,     .25, , , , , ,    1.00, , , , , , 
98836180,    1.00,     .01,    1,     .01,     .01, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
48636180,    1.00,    1.00,    9,     .00,   12.00,   24.00,   48.00, , , ,     285.00,     485.00,     685.00, , , ,     .00, , , , , ,     .00, , , , , , 
38657750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
42237750,     .00,     .00,    9,     .00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
58017750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
80707750,    1.00,    1.00,   12,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
53636180,    1.00,    1.00,   12,     .00,    1.00, , , , , ,       1.00, , , , , ,     .00, , , , , ,     .00, , , , , , 
39307750,    1.00,    1.00,   12,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
17907750,    1.00,    1.00,   12,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
23107750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
60036180,    1.00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
35636180,    1.00,     .00,   12,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
75636180,    1.00,     .00,   12,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
51036180,    6.00,    1.00,    1,    6.00,    1.00,   24.00,   48.00, , , ,    3300.00,    3301.00,    3302.00, , , ,    6.00,    6.25,    6.50, , , ,    1.00,   48.00,   72.00, , , , 
85636180,    6.00,    1.00,    1,    6.00,    1.00,   24.00,   48.00, , , ,    3533.00,    3534.00,    3535.00, , , ,    6.00,    6.50,    7.00, , , ,    1.00,   48.00,   72.00, , , , 
45636180,   24.00,    1.00,    1,    1.00,   50.00,  100.00,  150.00,  168.00, , ,      46.00,      86.00,     120.00,     150.00, , , , , , , , , , , , , , , 
15636180,   24.00,    1.00,    1,    1.00,   50.00,  100.00,  150.00,  168.00, , ,      66.00,     106.00,     140.00,     175.00, , , , , , , , , , , , , , , 
62636180,     .00,    1.00,    1,    1.00,     .00, , , , , ,        .00, , , , , ,    1.00, , , , , ,   24.00, , , , , , 
96636180,    1.00,    1.00,    9,     .00,     .50, , , , , ,    1000.00, , , , , , , , , , , , , , , , , , 
30836180,   24.00,    1.00,    1,    1.00,     .00,  744.00, , , , ,        .00,       1.00, , , , , , , , , , , , , , , , , 
70295750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
25925750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
18525750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
74525750,    1.00,    1.00,    1,     .25,   24.00,   48.00,   72.00,   96.00,  120.00,  144.00,        .00,        .01,        .02,        .03,        .04,        .05,     .25, , , , , ,    1.00, , , , , , 
6636180,    1.00,    1.00,    9,     .00,     .50, , , , , ,    1000.00, , , , , , , , , , , , , , , , , , 
66036180,   24.00,    1.00,    1,    1.00,     .00,  744.00, , , , ,        .00,       1.00, , , , , , , , , , , , , , , , , 
17953750,    4.00,    1.00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
14375750,    1.00,    1.00,    6,    1.00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
4375750,    1.00,    1.00,    6,    1.00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
70836180,    1.00,    1.00,    6,   11.00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
26836180,    1.00,    1.00,    6,   11.00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
36180,     .00,     .00,    9,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
78826180,    1.00,    1.00,   12,     .50,    1.00, , , , , ,     130.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
58826180,    1.00,    1.00,   12,     .50,    1.00, , , , , ,     130.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
38826180,    1.00,    1.00,   12,     .50,    1.00, , , , , ,     130.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
98826180,    1.00,    1.00,   12,     .50,    1.00, , , , , ,     130.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
48826180,    1.00,    1.00,   12,     .50,    1.00, , , , , ,     130.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
2893750,    4.00,    1.00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
28836180,    1.00,    1.00,    1,    1.00,    2.00,   20.00,   30.00,   35.00,   40.00,   50.00,        .01,        .02,        .03,        .04,        .05,        .06, , , , , , , , , , , , , 
71893750,    4.00,    1.00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
61826180,    1.00,    1.00,    2,     .50,    1.00, , , , , ,    6000.00, , , , , , , , , , , , , , , , , , 
37796180,   24.00,    1.00,    1,    1.00,   24.00,  168.00, , , , ,    5000.00,    6000.00, , , , , , , , , , , , , , , , , 
72636180,    4.00,     .00,    4,     .00,    1.00, , , , , ,    3500.00, , , , , ,     .40, , , , , ,    2.00, , , , , , 
6243750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
34713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
74713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
2713750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
31036180,   24.00,    1.00,    1,     .00,   12.00,   24.00,   48.00, , , ,     200.00,     400.00,     600.00, , , ,     .00, , , , , ,     .00, , , , , , 
19663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
9663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
55036180,   24.00,     .50,    9,     .50,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
32663750,   24.00,     .00,    1,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
35559750,    1.00,    1.00,    8,    2.00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
12679750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
25879750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
23059750,     .00,     .00,    1,     .30, , , , , , ,        .00, , , , , , , , , , , , , , , , , , 
13539750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
